t	NADH_m	ADP_m	deltaPsi	Ca_m	Ca_c	FBP
0.418	0.999776	1.00013	0.105447	0.958712	0.0001	5
0.419	0.999776	1.00013	0.103461	0.958616	0.0001	5
0.42	0.999775	1.00013	0.101475	0.95852	0.0001	5
0.421	0.999775	1.00013	0.0994897	0.958424	0.0001	5
0.422	0.999774	1.00013	0.0975053	0.958328	0.0001	5
0.423	0.999773	1.00013	0.0955215	0.958232	0.0001	5
0.424	0.999773	1.00013	0.0935385	0.958136	0.0001	5
0.425	0.999772	1.00013	0.0915562	0.95804	0.0001	5
0.426	0.999772	1.00013	0.0895746	0.957944	0.0001	5
0.427	0.999771	1.00013	0.0875937	0.957848	0.0001	5
0.428	0.999771	1.00013	0.0856135	0.957753	0.0001	5
0.429	0.99977	1.00013	0.083634	0.957657	0.0001	5
0.43	0.99977	1.00013	0.0816553	0.957561	0.0001	5
0.431	0.999769	1.00013	0.0796772	0.957465	0.0001	5
0.432	0.999769	1.00013	0.0776998	0.957369	0.0001	5
0.433	0.999768	1.00013	0.0757232	0.957273	0.0001	5
0.434	0.999768	1.00013	0.0737472	0.957177	0.0001	5
0.435	0.999767	1.00013	0.071772	0.957081	0.0001	5
0.436	0.999767	1.00013	0.0697974	0.956986	0.0001	5
0.437	0.999766	1.00014	0.0678236	0.95689	0.0001	5
0.438	0.999765	1.00014	0.0658504	0.956794	0.0001	5
0.439	0.999765	1.00014	0.063878	0.956698	0.0001	5
0.44	0.999764	1.00014	0.0619063	0.956603	0.0001	5
0.441	0.999764	1.00014	0.0599352	0.956507	0.0001	5
0.442	0.999763	1.00014	0.0579649	0.956411	0.0001	5
